id,leagueName,sport,leagueNameLegacy
20634,Netherlands - Eerste Divisie,Soccer,Netherlands - Eerste Divisie
20637,North America - Leagues Cup,Soccer,North America - Leagues Cup
20639,Northern Ireland - Premiership,Soccer,Northern Ireland - Premiership
20642,Norway - 1. Divisjon,Soccer,Norway - 1. Divisjon
20651,Peru - Primera Division,Soccer,Peru - Primera Division
20656,Portugal - Liga 3,Soccer,Portugal - Liga 3
20657,Portugal - Segunda Liga,Soccer,Portugal - Segunda Liga
20658,Portugal - Super Cup,Soccer,Portugal - Super Cup
20659,Qatar - Stars League,Soccer,Qatar - Stars League
20661,Romania - Liga I,Soccer,Romania - Liga I
20662,Romania - Liga II,Soccer,Romania - Liga II
20663,Russia - Cup,Soccer,Russia - Cup
20664,Russia - First League,Soccer,Russia - First League
20669,Scotland - Championship,Soccer,Scotland - Championship
20682,Slovenia - PrvaLiga,Soccer,Slovenia - PrvaLiga
20683,South Africa - Premier League,Soccer,South Africa - Premier League
20686,Sweden - Superettan,Soccer,Sweden - Superettan
20688,Switzerland - Challenge League,Soccer,Switzerland - Challenge League
20692,Turkey - 1. Lig,Soccer,Turkey - 1. Lig
20702,USA - USL Championship,Soccer,USA - USL Championship
20707,Uzbekistan - Super League,Soccer,Uzbekistan - Super League
20709,Vietnam - V League 1,Soccer,Vietnam - V League 1
20712,UEFA - European Championship U21,Soccer,UEFA - European Championship U21
20713,UEFA - European Championship Women,Soccer,UEFA - European Championship Women
20714,Slovakia - Superliga,Soccer,Slovakia - Superliga
20715,China - FA Cup,Soccer,China - FA Cup
20716,Netherlands - Super Cup,Soccer,Netherlands - Super Cup
20717,Ukraine - Premier League,Soccer,Ukraine - Premier League
20718,Italy - Serie C,Soccer,Italy - Serie C
20719,Japan - Emperor Cup,Soccer,Japan - Emperor Cup
20870,FINA - World Championship,Waterpolo,FINA - World Championship
20871,FINA - World Championship Women,Waterpolo,FINA - World Championship Women
30001,NCAAF Futures,Futures,NCAAF - Futures
30002,NFL Futures,Futures,NFL - Futures
30003,MLB Futures,Futures,MLB - Futures
30004,NBA Futures,Futures,NBA - Futures
30005,NCAAB Futures,Futures,NCAAB - Futures
30006,NHL Futures,Futures,NHL - Futures
30011,EPL Futures,Futures,England - Premier League - Futures
30012,Ligue 1 Futures,Futures,France - Ligue 1 - Futures
30013,Bundesliga Futures,Futures,Germany - Bundesliga - Futures
30014,La Liga Futures,Futures,Spain - La Liga - Futures
30015,Serie A Futures,Futures,Italy - Serie A - Futures
30016,UEFA Champions League Futures,Futures,UEFA - Champions League - Futures
30152,WTA Futures,Futures,WTA - Futures
30156,ATP Futures,Futures,ATP - Futures
30224,FIBA EuroBasket Futures,Futures,FIBA - EuroBasket - Futures
30399,Euroleague Futures,Futures,Euroleague - Futures
39997,FIFA - Club World Cup - Futures,Futures,FIFA - Club World Cup - Futures
39998,PGA Futures,Futures,PGA - Futures
39999,Formula 1 Futures,Futures,F1 - Futures
100021,Golf head-to-head,Golf,
100121,Golf Tournament Winner,Golf,
